word length 3
top 50 Observation
word,O/E,obs,E
THE,24.75549406102493,3868,156.24814396614215
AND,40.84863373481989,3141,76.8936366486738
CHE,30.238458458294897,2071,68.48894108991496
ESE,5.123984081520273,1923,375.29390595402685
HEE,7.263596106514031,1835,252.6296855016983
EES,4.223356614253579,1585,375.2939059540269
ING,51.38995620855698,1534,29.850190838352425
ITH,14.027780649697432,1172,83.54849774652551
WIT,38.267317107130985,1148,29.999490081474097
TER,5.017818070459535,1077,214.63512325016748
HER,7.124759371086208,903,126.74112246717642
FOR,26.007534191950203,900,34.60535679228545
REA,3.724627659619633,861,231.16404609633574
INT,7.204209161301116,851,118.12538766521669
ALL,15.527773425681517,844,54.35421916989729
RAN,7.03731764959031,840,119.36366124511973
THA,7.782518660927407,810,104.07941635484316
ATE,2.8177206827255437,803,284.98211512692194
OFT,18.72863517638968,799,42.66194479602348
NTH,9.742172940558579,786,80.68015265133795
AME,7.294220931370713,763,104.60335753178494
ENT,3.4176491998928196,755,220.91208191398854
EST,3.179467307112277,738,232.1143539828632
MIL,24.9654847911466,720,28.839816491580024
TED,5.077127272145887,702,138.26716612981306
ROM,16.225682128094125,695,42.8333301807161
THI,8.294583609420068,693,83.54849774652551
SOF,18.437606988620917,690,37.42351165342906
ETH,4.320051316233668,675,156.24814396614215
ESA,2.6881146000864966,672,249.98934196420672
AST,4.152245747125585,642,154.6151261505724
ERE,1.8442070062944318,640,347.032625847113
NDS,10.123121842745299,634,62.62890142474715
SAN,4.903773163300718,633,129.0842742762451
FRO,18.176376674151864,629,34.60535679228545
HES,4.574554286438834,627,137.06253347101546
RIN,6.42887206649427,616,95.81774121940354
INE,3.2148122171542908,614,190.99093773617193
TIN,5.172469797361906,611,118.12538766521669
ERS,3.1920507826921893,601,188.2802126014781
ANC,9.224480810239776,595,64.50227522176762
OTH,6.90987521235279,587,84.95088289736688
RES,3.117693526522986,587,188.28021260147815
EOF,8.480973426398467,585,68.97793102134813
ORT,5.0044807758360745,584,116.69542279387294
NCE,5.97934360111194,579,96.83337145775117
DIN,9.3316466391563,576,61.725440565126
EIN,2.9634913923604707,566,190.9909377361719
VER,25.532830699677515,562,22.010877156957697
ERT,2.6137381035541316,561,214.63512325016745
EAN,2.353688921647998,560,237.9243896036614
bottom 50 Observation
word,O/E,obs,E
HSR,0.01454280153167426,1,68.76254192302613
EFS,0.01452808902297358,1,68.8321773372037
OHR,0.01451207189293855,1,68.90814815261434
NIH,0.014336396253455104,1,69.7525362943981
GAE,0.013886043752907983,1,72.01475220691151
HII,0.013844206292110486,1,72.23238218935515
IHI,0.013844206292110486,1,72.23238218935515
OIH,0.013615663531081191,1,73.44482314190913
OOH,0.013390893596931014,1,74.67761525856531
TDS,0.01333050384652633,1,75.01591924153568
LTN,0.013179758748480229,1,75.87392296655742
RHT,0.01275710015556643,1,78.38772039142926
TRH,0.01275710015556643,1,78.38772039142926
EMR,0.012693201919146621,1,78.7823282391486
TIH,0.011969096117489276,1,83.54849774652551
AOL,0.011622158122389972,1,86.04253955842418
ELH,0.011525042824911003,1,86.76757346519639
NRR,0.01112358254364386,1,89.89909465556231
AHS,0.010952954004722223,1,91.29957083439436
HAO,0.01092980988638155,1,91.49289972975572
EHH,0.010838479883181918,1,92.26386087145866
NNR,0.010807518943975105,1,92.52817461471788
SRR,0.010586737682926268,1,94.45780465617347
NNN,0.010500435922159183,1,95.23414145975495
AEU,0.010102034949475171,1,98.98995647920944
OEC,0.009807848785255025,1,101.9591575986964
AEM,0.009559922583709978,1,104.60335753178494
MAE,0.009559922583709978,1,104.60335753178494
OIO,0.009146038467193515,1,109.33695540281852
AAH,0.008921043490318113,1,112.09451014169883
NNT,0.008766549459566666,1,114.06996613801462
AEC,0.008005285221725889,1,124.91747293226442
LOE,0.007741707539413497,1,129.1704698103022
AII,0.007590411548680029,1,131.74516211494483
OAI,0.0074651076073719205,1,133.95654190067978
AOO,0.007341872207091744,1,136.2050403211961
OAO,0.007341872207091744,1,136.2050403211961
EHS,0.007295939850779641,1,137.06253347101546
EOH,0.007280523179145663,1,137.35276646936595
EUE,0.006729128902583554,1,148.60764513161044
AEL,0.0063188756589887905,1,158.25600216985913
